"Country","ISO3","continent","IMP","IEF","GDP","GINI","HDI","HEALTH","EDI","PFI","NORDIC"
"Angola","AGO","Africa",0.576826621811458,53,2.92969445467272,0.513,0.616,3.09277129,4.05,52.44,0
"Albania","ALB","Europe",0.511224179995117,65.3,6.84642669381643,0.294,0.81,7.39913177,6.2,54.1,0
"United Arab Emirates","ARE","Asia",0.360151120348904,70.9,49.8990652975197,0.264,0.94,5.30494308,3.07,30.62,0
"Argentina","ARG","Americas",0.459544190341734,51,13.9356811110049,0.424,0.865,10.03832245,6.51,63.13,0
"Australia","AUS","Oceania",0.203698644911971,74.8,64.9970136536475,0.343,0.958,10.42525291,8.85,73.42,0
"Austria","AUT","Europe",0.205730771913887,71.1,52.1766649141178,0.309,0.93,12.15228558,8.28,74.69,0
"Belgium","BEL","Europe",0.218580787007341,67.1,50.8222518538518,0.264,0.951,11.04724503,7.64,81.49,0
"Benin","BEN","Africa",0.528127159506143,59.8,1.26642710981159,0.344,0.515,2.58129549,4.44,56.73,0
"Burkina Faso","BFA","Africa",0.548024644038707,56.2,0.836118304593682,0.374,0.459,6.40747881,2.55,58.24,0
"Bangladesh","BGD","Asia",0.608733201426059,54.4,2.71648592780431,0.334,0.685,2.36551309,4.44,27.64,0
"Bulgaria","BGR","Europe",0.447483157323744,69.3,13.9996719197289,0.382,0.845,8.61892796,6.34,65.32,0
"Bosnia and Herzegovina","BIH","Europe",0.48005136900523,62.9,7.65559421024383,0.33,0.804,9.55514336,5.06,58.85,0
"Belarus","BLR","Europe",0.555246165506444,51,7.99464806074889,0.244,0.824,6.56549978,1.99,26.8,0
"Bolivia","BOL","Americas",0.634584199776014,43.4,3.64392826984604,0.421,0.733,8.159729,4.26,48.88,0
"Brazil","BRA","Americas",0.497288032947771,53.5,9.28133334441234,0.516,0.786,9.63646507,6.49,58.59,0
"Botswana","BWA","Africa",0.404518973717247,64.9,8.32870905682185,0.549,0.731,6.30754805,7.63,59.78,0
"Canada","CAN","Americas",0.205860255840458,73.7,56.2568007264015,0.299,0.939,12.41920948,8.69,81.7,0
"Chile","CHL","Americas",0.344988275378174,71.1,15.4056165774073,0.43,0.878,9.68593311,7.83,67.32,0
"China","CHN","Asia",0.522909830058802,48.3,12.9706056414327,0.357,0.797,5.38360548,2.11,23.36,0
